_id,co_mun,no_mun,ano,variavel,inf_categoria,inf_subcategoria,valor
222,2700102,Água Branca,2017,Frota,veículos,1.1.1. Automóvel,874
223,2700102,Água Branca,2017,Frota,veículos,1.1.10. Motocicleta,2111
224,2700102,Água Branca,2017,Frota,veículos,1.1.11. Motoneta,129
225,2700102,Água Branca,2017,Frota,veículos,1.1.12. Ônibus,12
226,2700102,Água Branca,2017,Frota,veículos,1.1.13. Quadriciclo,0
227,2700102,Água Branca,2017,Frota,veículos,1.1.14. Reboque,20
228,2700102,Água Branca,2017,Frota,veículos,1.1.15. Semi-reboque,8
229,2700102,Água Branca,2017,Frota,veículos,1.1.16. Sidecar,0
230,2700102,Água Branca,2017,Frota,veículos,1.1.17. Trator de esteira,0
231,2700102,Água Branca,2017,Frota,veículos,1.1.18. Trator de rodas,0
232,2700102,Água Branca,2017,Frota,veículos,1.1.19. Triciclo,0
233,2700102,Água Branca,2017,Frota,veículos,1.1.2. Bonde,0
234,2700102,Água Branca,2017,Frota,veículos,1.1.20. Utilitário,2
235,2700102,Água Branca,2017,Frota,veículos,1.1.21. Outros,0
236,2700102,Água Branca,2017,Frota,veículos,1.1.3. Caminhão,74
237,2700102,Água Branca,2017,Frota,veículos,1.1.4. Caminhão trator,2
238,2700102,Água Branca,2017,Frota,veículos,1.1.5. Caminhonete,505
239,2700102,Água Branca,2017,Frota,veículos,1.1.6. Camioneta,37
240,2700102,Água Branca,2017,Frota,veículos,1.1.7. Chassi plataforma,0
241,2700102,Água Branca,2017,Frota,veículos,1.1.8. Ciclomotor,0
242,2700102,Água Branca,2017,Frota,veículos,1.1.9. Micro-ônibus,78
243,2700102,Água Branca,2018,Frota,veículos,1. Veículo,4102
244,2700102,Água Branca,2018,Frota,veículos,1.1.1. Automóvel,947
245,2700102,Água Branca,2018,Frota,veículos,1.1.10. Motocicleta,2203
246,2700102,Água Branca,2018,Frota,veículos,1.1.11. Motoneta,133
247,2700102,Água Branca,2018,Frota,veículos,1.1.12. Ônibus,19
248,2700102,Água Branca,2018,Frota,veículos,1.1.13. Quadriciclo,0
249,2700102,Água Branca,2018,Frota,veículos,1.1.14. Reboque,24
250,2700102,Água Branca,2018,Frota,veículos,1.1.15. Semi-reboque,8
251,2700102,Água Branca,2018,Frota,veículos,1.1.16. Sidecar,0
252,2700102,Água Branca,2018,Frota,veículos,1.1.17. Trator de esteira,0
253,2700102,Água Branca,2018,Frota,veículos,1.1.18. Trator de rodas,0
254,2700102,Água Branca,2018,Frota,veículos,1.1.19. Triciclo,0
255,2700102,Água Branca,2018,Frota,veículos,1.1.2. Bonde,0
256,2700102,Água Branca,2018,Frota,veículos,1.1.20. Utilitário,2
257,2700102,Água Branca,2018,Frota,veículos,1.1.21. Outros,0
258,2700102,Água Branca,2018,Frota,veículos,1.1.3. Caminhão,120
259,2700102,Água Branca,2018,Frota,veículos,1.1.4. Caminhão trator,2
260,2700102,Água Branca,2018,Frota,veículos,1.1.5. Caminhonete,521
261,2700102,Água Branca,2018,Frota,veículos,1.1.6. Camioneta,38
262,2700102,Água Branca,2018,Frota,veículos,1.1.7. Chassi plataforma,0
263,2700102,Água Branca,2018,Frota,veículos,1.1.8. Ciclomotor,0
264,2700102,Água Branca,2018,Frota,veículos,1.1.9. Micro-ônibus,85
265,2700102,Água Branca,2019,Frota,veículos,1. Veículo,4390
266,2700102,Água Branca,2019,Frota,veículos,1.1.1. Automóvel,1050
267,2700102,Água Branca,2019,Frota,veículos,1.1.10. Motocicleta,2317
268,2700102,Água Branca,2019,Frota,veículos,1.1.11. Motoneta,136
269,2700102,Água Branca,2019,Frota,veículos,1.1.12. Ônibus,31
270,2700102,Água Branca,2019,Frota,veículos,1.1.13. Quadriciclo,0
271,2700102,Água Branca,2019,Frota,veículos,1.1.14. Reboque,24
272,2700102,Água Branca,2019,Frota,veículos,1.1.15. Semi-reboque,10
273,2700102,Água Branca,2019,Frota,veículos,1.1.16. Sidecar,0
274,2700102,Água Branca,2019,Frota,veículos,1.1.17. Trator de esteira,0
275,2700102,Água Branca,2019,Frota,veículos,1.1.18. Trator de rodas,0
276,2700102,Água Branca,2019,Frota,veículos,1.1.19. Triciclo,0
277,2700102,Água Branca,2019,Frota,veículos,1.1.2. Bonde,0
278,2700102,Água Branca,2019,Frota,veículos,1.1.20. Utilitário,4
279,2700102,Água Branca,2019,Frota,veículos,1.1.21. Outros,0
280,2700102,Água Branca,2019,Frota,veículos,1.1.3. Caminhão,120
281,2700102,Água Branca,2019,Frota,veículos,1.1.4. Caminhão trator,2
282,2700102,Água Branca,2019,Frota,veículos,1.1.5. Caminhonete,548
283,2700102,Água Branca,2019,Frota,veículos,1.1.6. Camioneta,40
284,2700102,Água Branca,2019,Frota,veículos,1.1.7. Chassi plataforma,0
285,2700102,Água Branca,2019,Frota,veículos,1.1.8. Ciclomotor,17
286,2700102,Água Branca,2019,Frota,veículos,1.1.9. Micro-ônibus,91
287,2700102,Água Branca,2020,Frota,veículos,1. Veículo,4508
288,2700102,Água Branca,2020,Frota,veículos,1.1.1. Automóvel,1085
289,2700102,Água Branca,2020,Frota,veículos,1.1.10. Motocicleta,2399
290,2700102,Água Branca,2020,Frota,veículos,1.1.11. Motoneta,141
291,2700102,Água Branca,2020,Frota,veículos,1.1.12. Ônibus,31
292,2700102,Água Branca,2020,Frota,veículos,1.1.13. Quadriciclo,0
293,2700102,Água Branca,2020,Frota,veículos,1.1.14. Reboque,26
294,2700102,Água Branca,2020,Frota,veículos,1.1.15. Semi-reboque,10
295,2700102,Água Branca,2020,Frota,veículos,1.1.16. Sidecar,0
296,2700102,Água Branca,2020,Frota,veículos,1.1.17. Trator de esteira,0
297,2700102,Água Branca,2020,Frota,veículos,1.1.18. Trator de rodas,0
298,2700102,Água Branca,2020,Frota,veículos,1.1.19. Triciclo,0
299,2700102,Água Branca,2020,Frota,veículos,1.1.2. Bonde,0
300,2700102,Água Branca,2020,Frota,veículos,1.1.20. Utilitário,5
301,2700102,Água Branca,2020,Frota,veículos,1.1.21. Outros,0
302,2700102,Água Branca,2020,Frota,veículos,1.1.3. Caminhão,116
303,2700102,Água Branca,2020,Frota,veículos,1.1.4. Caminhão trator,3
304,2700102,Água Branca,2020,Frota,veículos,1.1.5. Caminhonete,541
305,2700102,Água Branca,2020,Frota,veículos,1.1.6. Camioneta,41
306,2700102,Água Branca,2020,Frota,veículos,1.1.7. Chassi plataforma,0
307,2700102,Água Branca,2020,Frota,veículos,1.1.8. Ciclomotor,17
308,2700102,Água Branca,2020,Frota,veículos,1.1.9. Micro-ônibus,93
309,2700102,Água Branca,2021,Frota,veículos,1. Veículo,4861
310,2700102,Água Branca,2021,Frota,veículos,1.1.1. Automóvel,1178
311,2700102,Água Branca,2021,Frota,veículos,1.1.10. Motocicleta,2588
312,2700102,Água Branca,2021,Frota,veículos,1.1.11. Motoneta,153
313,2700102,Água Branca,2021,Frota,veículos,1.1.12. Ônibus,31
314,2700102,Água Branca,2021,Frota,veículos,1.1.13. Quadriciclo,0
