_id,co_mun,no_mun,ano,variavel,produto_tipo,produto_variavel,valor
224,2700201,Anadia,2017.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc) (Nenhuma)",Produção da aquicultura,...
225,2700201,Anadia,2017.0,Aquicultura,Pacu e patinga,Valor da produção (Mil Reais),...
226,2700201,Anadia,2017.0,Aquicultura,Pacu e patinga (Quilogramas),Produção da aquicultura,...
227,2700201,Anadia,2017.0,Aquicultura,"Piau, piapara, piauçu, piava",Valor da produção (Mil Reais),...
228,2700201,Anadia,2017.0,Aquicultura,"Piau, piapara, piauçu, piava (Quilogramas)",Produção da aquicultura,...
229,2700201,Anadia,2017.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim",Valor da produção (Mil Reais),...
230,2700201,Anadia,2017.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim (Quilogramas)",Produção da aquicultura,...
231,2700201,Anadia,2017.0,Aquicultura,Pirapitinga,Valor da produção (Mil Reais),...
232,2700201,Anadia,2017.0,Aquicultura,Pirapitinga (Quilogramas),Produção da aquicultura,...
233,2700201,Anadia,2017.0,Aquicultura,Pirarucu,Valor da produção (Mil Reais),...
234,2700201,Anadia,2017.0,Aquicultura,Pirarucu (Quilogramas),Produção da aquicultura,...
235,2700201,Anadia,2017.0,Aquicultura,Sementes de moluscos,Valor da produção (Mil Reais),...
236,2700201,Anadia,2017.0,Aquicultura,Sementes de moluscos (Milheiros),Produção da aquicultura,...
237,2700201,Anadia,2017.0,Aquicultura,"Tambacu, tambatinga",Valor da produção (Mil Reais),...
238,2700201,Anadia,2017.0,Aquicultura,"Tambacu, tambatinga (Quilogramas)",Produção da aquicultura,...
239,2700201,Anadia,2017.0,Aquicultura,Tambaqui,Valor da produção (Mil Reais),...
240,2700201,Anadia,2017.0,Aquicultura,Tambaqui (Quilogramas),Produção da aquicultura,...
241,2700201,Anadia,2017.0,Aquicultura,Tilápia,Valor da produção (Mil Reais),...
