_id,co_uf,no_uf,ano,variavel,inf_categoria,inf_subcategoria,valor
241,11.0,Rondônia,2017,Frota,veículos,1.1.8. Ciclomotor,2597
242,11.0,Rondônia,2017,Frota,veículos,1.1.9. Micro-ônibus,1231
243,11.0,Rondônia,2018,Frota,veículos,1. Veículo,985047
244,11.0,Rondônia,2018,Frota,veículos,1.1.1. Automóvel,282439
245,11.0,Rondônia,2018,Frota,veículos,1.1.10. Motocicleta,394027
246,11.0,Rondônia,2018,Frota,veículos,1.1.11. Motoneta,121783
247,11.0,Rondônia,2018,Frota,veículos,1.1.12. Ônibus,6164
248,11.0,Rondônia,2018,Frota,veículos,1.1.13. Quadriciclo,1
249,11.0,Rondônia,2018,Frota,veículos,1.1.14. Reboque,14917
250,11.0,Rondônia,2018,Frota,veículos,1.1.15. Semi-reboque,12461
251,11.0,Rondônia,2018,Frota,veículos,1.1.16. Sidecar,40
252,11.0,Rondônia,2018,Frota,veículos,1.1.17. Trator de esteira,1
253,11.0,Rondônia,2018,Frota,veículos,1.1.18. Trator de rodas,45
254,11.0,Rondônia,2018,Frota,veículos,1.1.19. Triciclo,333
255,11.0,Rondônia,2018,Frota,veículos,1.1.2. Bonde,0
256,11.0,Rondônia,2018,Frota,veículos,1.1.20. Utilitário,3938
257,11.0,Rondônia,2018,Frota,veículos,1.1.21. Outros,53
258,11.0,Rondônia,2018,Frota,veículos,1.1.3. Caminhão,31097
259,11.0,Rondônia,2018,Frota,veículos,1.1.4. Caminhão trator,6855
260,11.0,Rondônia,2018,Frota,veículos,1.1.5. Caminhonete,93817
261,11.0,Rondônia,2018,Frota,veículos,1.1.6. Camioneta,13023
262,11.0,Rondônia,2018,Frota,veículos,1.1.7. Chassi plataforma,8
263,11.0,Rondônia,2018,Frota,veículos,1.1.8. Ciclomotor,2766
264,11.0,Rondônia,2018,Frota,veículos,1.1.9. Micro-ônibus,1279
265,11.0,Rondônia,2019,Frota,veículos,1. Veículo,1030614
266,11.0,Rondônia,2019,Frota,veículos,1.1.1. Automóvel,298059
267,11.0,Rondônia,2019,Frota,veículos,1.1.10. Motocicleta,406738
268,11.0,Rondônia,2019,Frota,veículos,1.1.11. Motoneta,127561
269,11.0,Rondônia,2019,Frota,veículos,1.1.12. Ônibus,6354
270,11.0,Rondônia,2019,Frota,veículos,1.1.13. Quadriciclo,2
271,11.0,Rondônia,2019,Frota,veículos,1.1.14. Reboque,16279
272,11.0,Rondônia,2019,Frota,veículos,1.1.15. Semi-reboque,13347
273,11.0,Rondônia,2019,Frota,veículos,1.1.16. Sidecar,40
274,11.0,Rondônia,2019,Frota,veículos,1.1.17. Trator de esteira,1
275,11.0,Rondônia,2019,Frota,veículos,1.1.18. Trator de rodas,45
276,11.0,Rondônia,2019,Frota,veículos,1.1.19. Triciclo,338
277,11.0,Rondônia,2019,Frota,veículos,1.1.2. Bonde,0
278,11.0,Rondônia,2019,Frota,veículos,1.1.20. Utilitário,4514
279,11.0,Rondônia,2019,Frota,veículos,1.1.21. Outros,56
280,11.0,Rondônia,2019,Frota,veículos,1.1.3. Caminhão,31479
281,11.0,Rondônia,2019,Frota,veículos,1.1.4. Caminhão trator,7275
282,11.0,Rondônia,2019,Frota,veículos,1.1.5. Caminhonete,100591
283,11.0,Rondônia,2019,Frota,veículos,1.1.6. Camioneta,13704
284,11.0,Rondônia,2019,Frota,veículos,1.1.7. Chassi plataforma,8
285,11.0,Rondônia,2019,Frota,veículos,1.1.8. Ciclomotor,2867
286,11.0,Rondônia,2019,Frota,veículos,1.1.9. Micro-ônibus,1356
287,11.0,Rondônia,2020,Frota,veículos,1. Veículo,1070952
288,11.0,Rondônia,2020,Frota,veículos,1.1.1. Automóvel,310625
289,11.0,Rondônia,2020,Frota,veículos,1.1.10. Motocicleta,417880
290,11.0,Rondônia,2020,Frota,veículos,1.1.11. Motoneta,132605
291,11.0,Rondônia,2020,Frota,veículos,1.1.12. Ônibus,6710
292,11.0,Rondônia,2020,Frota,veículos,1.1.13. Quadriciclo,3
293,11.0,Rondônia,2020,Frota,veículos,1.1.14. Reboque,18058
294,11.0,Rondônia,2020,Frota,veículos,1.1.15. Semi-reboque,14172
295,11.0,Rondônia,2020,Frota,veículos,1.1.16. Sidecar,40
296,11.0,Rondônia,2020,Frota,veículos,1.1.17. Trator de esteira,1
297,11.0,Rondônia,2020,Frota,veículos,1.1.18. Trator de rodas,47
298,11.0,Rondônia,2020,Frota,veículos,1.1.19. Triciclo,346
299,11.0,Rondônia,2020,Frota,veículos,1.1.2. Bonde,0
300,11.0,Rondônia,2020,Frota,veículos,1.1.20. Utilitário,5169
301,11.0,Rondônia,2020,Frota,veículos,1.1.21. Outros,61
302,11.0,Rondônia,2020,Frota,veículos,1.1.3. Caminhão,31861
303,11.0,Rondônia,2020,Frota,veículos,1.1.4. Caminhão trator,7788
304,11.0,Rondônia,2020,Frota,veículos,1.1.5. Caminhonete,106749
305,11.0,Rondônia,2020,Frota,veículos,1.1.6. Camioneta,14432
306,11.0,Rondônia,2020,Frota,veículos,1.1.7. Chassi plataforma,8
307,11.0,Rondônia,2020,Frota,veículos,1.1.8. Ciclomotor,2974
308,11.0,Rondônia,2020,Frota,veículos,1.1.9. Micro-ônibus,1423
309,11.0,Rondônia,2021,Frota,veículos,1. Veículo,1113279
310,11.0,Rondônia,2021,Frota,veículos,1.1.1. Automóvel,322046
311,11.0,Rondônia,2021,Frota,veículos,1.1.10. Motocicleta,429680
312,11.0,Rondônia,2021,Frota,veículos,1.1.11. Motoneta,137591
313,11.0,Rondônia,2021,Frota,veículos,1.1.12. Ônibus,6843
314,11.0,Rondônia,2021,Frota,veículos,1.1.13. Quadriciclo,3
315,11.0,Rondônia,2021,Frota,veículos,1.1.14. Reboque,20029
316,11.0,Rondônia,2021,Frota,veículos,1.1.15. Semi-reboque,15053
317,11.0,Rondônia,2021,Frota,veículos,1.1.16. Sidecar,40
318,11.0,Rondônia,2021,Frota,veículos,1.1.17. Trator de esteira,2
319,11.0,Rondônia,2021,Frota,veículos,1.1.18. Trator de rodas,49
320,11.0,Rondônia,2021,Frota,veículos,1.1.19. Triciclo,353
321,11.0,Rondônia,2021,Frota,veículos,1.1.2. Bonde,0
322,11.0,Rondônia,2021,Frota,veículos,1.1.20. Utilitário,6287
323,11.0,Rondônia,2021,Frota,veículos,1.1.21. Outros,94
324,11.0,Rondônia,2021,Frota,veículos,1.1.3. Caminhão,32325
325,11.0,Rondônia,2021,Frota,veículos,1.1.4. Caminhão trator,8337
326,11.0,Rondônia,2021,Frota,veículos,1.1.5. Caminhonete,114712
327,11.0,Rondônia,2021,Frota,veículos,1.1.6. Camioneta,15290
328,11.0,Rondônia,2021,Frota,veículos,1.1.7. Chassi plataforma,8
329,11.0,Rondônia,2021,Frota,veículos,1.1.8. Ciclomotor,3072
330,11.0,Rondônia,2021,Frota,veículos,1.1.9. Micro-ônibus,1465
331,11.0,Rondônia,2022,Frota,veículos,1. Veículo,1154287
332,11.0,Rondônia,2022,Frota,veículos,1.1.1. Automóvel,330443
333,11.0,Rondônia,2022,Frota,veículos,1.1.10. Motocicleta,444046
334,11.0,Rondônia,2022,Frota,veículos,1.1.11. Motoneta,144047
335,11.0,Rondônia,2022,Frota,veículos,1.1.12. Ônibus,7093
336,11.0,Rondônia,2022,Frota,veículos,1.1.13. Quadriciclo,3
337,11.0,Rondônia,2022,Frota,veículos,1.1.14. Reboque,21295
338,11.0,Rondônia,2022,Frota,veículos,1.1.15. Semi-reboque,15694
339,11.0,Rondônia,2022,Frota,veículos,1.1.16. Sidecar,40
340,11.0,Rondônia,2022,Frota,veículos,1.1.17. Trator de esteira,2
341,11.0,Rondônia,2022,Frota,veículos,1.1.18. Trator de rodas,51
342,11.0,Rondônia,2022,Frota,veículos,1.1.19. Triciclo,355
343,11.0,Rondônia,2022,Frota,veículos,1.1.2. Bonde,0
344,11.0,Rondônia,2022,Frota,veículos,1.1.20. Utilitário,7257
345,11.0,Rondônia,2022,Frota,veículos,1.1.21. Outros,151
346,11.0,Rondônia,2022,Frota,veículos,1.1.3. Caminhão,32833
347,11.0,Rondônia,2022,Frota,veículos,1.1.4. Caminhão trator,8711
348,11.0,Rondônia,2022,Frota,veículos,1.1.5. Caminhonete,121316
349,11.0,Rondônia,2022,Frota,veículos,1.1.6. Camioneta,16314
350,11.0,Rondônia,2022,Frota,veículos,1.1.7. Chassi plataforma,8
351,11.0,Rondônia,2022,Frota,veículos,1.1.8. Ciclomotor,3127
352,11.0,Rondônia,2022,Frota,veículos,1.1.9. Micro-ônibus,1501
353,12.0,Acre,2006,Frota,veículos,1. Veículo,81600
354,12.0,Acre,2006,Frota,veículos,1.1.1. Automóvel,30619
355,12.0,Acre,2006,Frota,veículos,1.1.10. Motocicleta,27203
356,12.0,Acre,2006,Frota,veículos,1.1.11. Motoneta,6910
357,12.0,Acre,2006,Frota,veículos,1.1.12. Ônibus,439
358,12.0,Acre,2006,Frota,veículos,1.1.13. Quadriciclo,0
359,12.0,Acre,2006,Frota,veículos,1.1.14. Reboque,793
360,12.0,Acre,2006,Frota,veículos,1.1.15. Semi-reboque,374
361,12.0,Acre,2006,Frota,veículos,1.1.16. Sidecar,36
362,12.0,Acre,2006,Frota,veículos,1.1.17. Trator de esteira,0
363,12.0,Acre,2006,Frota,veículos,1.1.18. Trator de rodas,1
364,12.0,Acre,2006,Frota,veículos,1.1.19. Triciclo,3
